Date,Clutch,Individual within clutch,Playback age (day),Playback time (hour),Playback time (min),Hatching response (0 - no hatch; 1 - hatched),Latency to hatch (min),R2 (right eye),Sine fit amplitude (right eye),R2 (left eye),Sine fit amplitude (left eye),Sine fit amplitude (mean of eyes),"VOR amplitude (mean sine fit, excluding non-VOR eye movements)",Tadpole length (mm),Developmental stage
20150811,254,1,3,18,1,1,0.6,0.870985558,12.7991005,0.739944701,9.477761756,11.13843113,11.13843113,9.397,3
20150811,254,2,3,18,1,0,NA,0.456053935,4.222067231,0.274492866,3.404096415,3.813081823,0,9.39,3
20150811,254,3,3,21,0,1,4.8,0.895291829,15.27926933,0.892867119,19.4096552,17.34446227,17.34446227,9.638,4
20150811,254,4,3,21,0,0,NA,0.607663651,6.159287944,0.792008722,11.20284118,8.681064562,8.681064562,9.667,5
20150812,254,5,4,0,0,1,3,0.919623752,23.70446248,0.807588972,19.72474448,21.71460348,21.71460348,10.401,5
20150812,254,6,4,0,0,1,4.2,0.970870369,25.49609084,0.954848478,26.08932794,25.79270939,25.79270939,10.187,5
20150812,254,7,4,3,3,1,1.00000002,0.976,29.45,0.945,27.52,28.485,28.485,10.93,6
20150812,254,8,4,3,3,1,1.99999998,0.966,27.92,0.924,28.62,28.27,28.27,10.541,6
20150811,255,1,3,18,29,0,NA,0.707053459,9.777343499,0.510853921,4.828927068,7.303135284,7.303135284,8.37,3
20150811,255,2,3,18,29,0,NA,0.375040846,6.301570976,0.583364603,9.714490762,8.008030869,0,9.312,3
20150811,255,3,3,21,26,1,1.2,0.615,5.02,0.579,9.73,7.375,7.375,9.055,4
20150811,255,4,3,21,26,1,4.2,0.86,14.4,0.938,22.85,18.625,18.625,9.29,4
20150812,255,5,4,0,22,1,3,0.947599597,24.73521091,0.909926641,25.76920484,25.25220788,25.25220788,9.493,4
20150812,255,6,4,0,22,0,NA,0.873,17.78,0.76,18.62,18.2,18.2,9.64,4
20150812,255,7,4,3,16,1,3.2,0.947,25.12,0.919,21.32,23.22,23.22,9.689,6
20150812,255,8,4,3,16,1,0.8,0.953,31.44,0.932,30.69,31.065,31.065,9.745,6
20150811,256,1,3,18,11,0,NA,0.601770837,4.873804543,0.68993535,7.298686401,6.086245472,6.086245472,8.862,3
20150811,256,2,3,18,11,0,NA,0.528975145,6.775865349,0.677713362,12.04375326,9.409809307,0,8.786,3
20150811,256,3,3,21,13,0,NA,0.92,17.34,0.934,22.58,19.96,19.96,9.152,3
20150811,256,4,3,21,13,0,NA,0.917447075,16.16560005,0.897671358,23.10385222,19.63472614,19.63472614,8.362,3
20150811,256,5,4,0,9,1,3,0.857960109,21.65596924,0.824156348,20.64293745,21.14945335,21.14945335,10,5
20150811,256,6,4,0,9,1,4.2,0.806648435,13.4852497,0.487191546,16.29236815,14.88880893,14.88880893,9.682,5
20150812,256,7,4,3,10,1,1.99999998,0.791152056,14.98109496,0.866623334,20.81629474,17.89869485,17.89869485,9.922,5
20150812,256,8,4,3,10,1,1.99999998,0.952311171,25.98817588,0.922848455,23.7237441,24.85595999,24.85595999,9.609,5
20150811,257,1,3,22,14,1,4.2,0.769870326,10.72716559,0.928381828,24.25422745,17.49069652,17.49069652,9.139,4
20150811,257,2,3,22,14,0,NA,0.501983361,5.813033443,0.487065951,6.105242633,5.959138038,5.959138038,9.666,4
20150812,257,3,4,1,5,1,5.4,0.265919977,3.051743589,0.596135658,6.496924563,4.774334076,0,9.601,3
20150812,257,4,4,1,5,1,5.4,0.657741839,8.39638456,0.626329218,8.837913972,8.617149266,8.617149266,9.564,4
20150812,257,5,4,3,38,1,1.2,0.924972145,27.46598935,0.790836158,12.24157911,19.85378423,19.85378423,9.852,5
20150812,257,6,4,3,38,1,4.2,0.943518238,23.0860622,0.926158959,23.12703942,23.10655081,23.10655081,9.378,5
20150811,258,1,3,21,40,0,NA,0.578756604,11.23261682,0.457387971,8.614543111,9.923579966,0,8.42,3
20150811,258,2,3,21,40,0,NA,0.777878169,8.86943822,0.320441265,5.906868029,7.388153124,7.388153124,8.866,3
20150812,258,3,4,0,37,0,NA,0.72226495,6.870061484,0.772129508,7.044236777,6.957149131,6.957149131,9.065,5
20150812,258,4,4,0,37,0,NA,0.420448924,6.674036822,0.730788872,9.680297525,8.177167174,8.177167174,9.516,5
20150812,258,5,4,3,24,1,3,0.566825877,11.60770663,0.645266018,8.733087035,10.17039683,0,9.18,5
