RowOrder,Date,AgeDays,Clutch,Individual,Final_Stages,JiggledHour,JiggledMin,JiggledSec,TimeJiggledHr,HorNH,HatchedHour,HatchedMin,HatchedSec,TimeHatched,ImgStart,ImgEnd,JJ_face_middle_totalsides,JJ_face_yolk_totalsides,JJ_face_mouth_totalsides,JJ_face_undereye_totalsides,JJ_face_overeye_totalsides,JJ_body_ALL_1side,JJ_body_PLL_1side,JJ_body_dorsal_totalsides,JJ_total,AC_face_middle_totalsides,AC_face_yolk_totalsides,AC_face_mouth_totalsides,AC_face_undereye_totalsides,AC_face_overeye_totalsides,AC_body_ALL_1side,AC_body_PLL_1side,AC_body_dorsal_totalsides,AC_total,TL_img,Tadpole_length
1,20180806,4,451,1,28,10,55,0,10.91666667,No,NA,NA,NA,NA,57,108,25,0,31,26,32,41,85,13,347,25,0,27,21,32,38,60,14,283,no dorsal view,NA
2,20180806,4,451,2,29,12,25,0,12.41666667,Yes,12,26,40,12.44444444,1,33,24,0,27,26,30,63,93,15,404,23,0,29,39,28,64,94,15,422,no dorsal view,NA
3,20180806,4,451,3,29,13,17,30,13.29166667,Yes,13,17,30,13.29166667,1,52,28,12,34,30,38,65,89,12,424,27,6,34,34,44,69,75,20,409,no dorsal view,NA
4,20180808,4,452,1,29,7,52,0,7.866666667,Yes,7,55,45,7.929166667,186,234,23,2,32,24,44,28,92,13,334,23,0,28,26,50,28,81,20,315,image0198.tif,10.993
5,20180808,4,453,1,29,7,52,0,7.866666667,Yes,7,54,30,7.908333333,154,185,27,0,32,26,38,34,102,14,371,26,0,38,32,32,34,98,21,381,image0155.tif,10.283
6,20180808,4,452,2,28,7,59,0,7.983333333,No,NA,NA,NA,NA,67,113,21,18,22,16,34,29,80,15,310,26,17,11,19,32,29,76,15,298,image0067.tif,10.491
7,20180808,4,453,2,29,7,59,0,7.983333333,Yes,7,59,30,7.991666667,114,153,31,7,42,42,34,32,84,7,361,27,8,42,36,42,35,83,13,362,image0148.tif,10.93
8,20180808,4,454,1,28,8,6,0,8.1,No,NA,NA,NA,NA,30,66,25,17,20,17,31,31,61,14,277,29,23,26,21,39,31,63,14,301,image0065.tif,11.061
9,20180808,4,454,2,28,8,6,0,8.1,No,NA,NA,NA,NA,1,29,19,16,28,20,34,30,86,14,329,25,18,37,17,39,35,80,14,341,image0001.tif,10.103
10,20180808,4,452,3,29,11,1,0,11.01666667,No,NA,NA,NA,NA,350,385,31,14,26,20,40,31,100,17,370,31,8,38,36,43,49,87,17,402,no dorsal view,NA
